Name MGRS Lat(ddd_mm.mmm) Long(ddd_mm.mmm) Lat(ddd_mm_ss) Long(ddd_mm_ss)
ABBAS 37SCT8147600054 33°26.000' 037°43.500' 33°25'60" 037°43'30"
ABDNB 37SBS6062091410 33°20.117' 036°25.683' 33°20'07" 036°25'41"
ADKAR 36SXF9621374295 36°47.650' 035°11.950' 36°47'39" 035°11'57"
ADLAS 36SWD2883269170 34°57.880' 033°18.950' 34°57'52" 033°18'57"
ADRAA 37SBT6806022086 33°36.800' 036°30.000' 33°36'48 036°30'00"
ADRES 37SCB5205915216 37°10.300' 037°20.017' 37°10'18" 037°20'01"
AKR13 36SWD1656112965 34°27.486' 033°10.819' 34°27'29" 033°10'49"
ALENB 37SCA3870205188 36°10.683' 037°12.383' 36°10'41" 037°12'23"
ALSUS 36SXD5111678178 35°02.100' 034°39.400' 35°02'06" 034°39'24"
AMAKO 36SWD8559950191 34°47.420' 033°56.140' 34°47'25" 033°56'08"
ARPAG 37SCB4709025737 37°15.940' 037°16.530' 37°15'56" 037°16'32"
ARTAR 37SDB8652205588 37°05.790' 038°50.900' 37°05'47" 038°50'54"
ATLOM 37SEB3074837584 37°23.070' 039°20.840' 37°23'04" 039°20'50"
BABLI 37SCA1011592468 36°57.550' 036°52.030' 36°57'33" 036°52'02"
BABNB 36SYC3002448027 33°50.850' 035°29.167' 33°50'51" 035°29'10"
BALMA 36SXD8824817656 34°29.000' 035°03.000' 34°28'60" 035°03'00"
BANNB 36SYE6919102344 35°13.683' 035°57.467' 35°13'41" 035°57'28"
BAPAX 36SXE0584251897 35°42.320' 034°10.200' 35°42'19" 034°10'12"
BASEM 37SCT7486714216 33°33.617' 037°39.117' 33°33'37" 037°39'07"
BETID 36SVD9683112737 34°27.370' 032°57.930' 34°27'22" 032°57'56"
BODNB 36SYC2946354210 33°54.200' 035°28.900' 33°54'12" 035°28'54"
BONEK 36SVD9375481325 35°04.480' 032°55.890' 35°04'29" 032°55'53"
BOSIS 36SWD6783431522 34°37.400' 033°44.400' 34°37'24" 033°44'24"
BRAVO 37SBU7863241693 34°41.600' 036°35.000' 34°41'36" 036°34'60"
BUSRA 37SBR7567179880 32°20.000' 036°37.000' 32°19'60" 036°37'00"
CEDAR 37SBT2395598050 34°17.220' 036°00.072' 34°17'13" 036°00'04"
CUROS 36SYF1345895950 36°59.129' 035°23.904' 36°59'078" 035°23'54"
DAKWE 36SYC7046727067 33°38.947' 035°54.982' 33°38'57" 035°54'59"
DALNB 37SBT7717207907 33°29.250' 036°36.100' 33°29'15" 036°36'06"
DAMNB 37SBS6447594583 33°21.883' 036°28.117' 33°21'53" 036°28'07"
DAN 36SYF1780499406 37°00.936' 035°26.891' 37°00'56" 035°26'53"
DAPUK 37SDS6909054901 33°01.930' 038°40.140' 33°01'56" 038°40'08"
DAROS 36SWD1353374346 35°00.700' 033°08.900' 35°00'42" 033°08'54"
DAXEN 37SCS7678723875 32°44.750' 037°41.090' 32°44'45" 037°41'05"
DEMEB 37SEB2045957448 37°33.830' 039°13.900' 37°33'50" 039°13'54"
DESPO 36SXD2692412733 34°26.900' 034°22.900' 34°26'54" 034°22'54"
DIPOS 36SVD8200046076 34°45.400' 032°48.200' 34°45'24" 032°48'12"
DIVLA 36SXA6165273486 32°17.190' 034°43.000' 32°17'11" 034°43'00"
DKANB 36SWD6693271440 34°59.000' 033°44.000' 34°58'60" 033°43'60"
